tempo_relativo,efeito,se,ci_lower,ci_upper,periodo
-9,0.22554502024291495,0.4982862930504327,-0.6456864610008363,1.1251848558540536,pré
-8,0.5309951866846602,0.6299013814141703,-0.6666342122848102,1.7907996138173492,pré
-7,-1.9004750229634353,1.0965226321142378,-3.7223669834198323,-0.060082805107656845,pré
-6,0.6795506319491815,0.43311179857381304,-0.12538268468453417,1.5529857285070197,pré
-5,0.8253562521631687,0.5624939533846929,-0.20096985360943376,1.8544726054585814,pré
-4,-0.16362042428768384,0.5263400242048899,-1.1851390031341056,0.8340629737731378,pré
-3,0.03282637761011682,0.4297819547094729,-0.8353903031560509,0.8388837098281204,pré
-2,0.6374007217670339,0.3488101878182258,-0.02770201051241946,1.303198712194848,pré
-1,-0.14358545430004663,0.3854855678312532,-0.9202472489506649,0.5819454943185538,pré
0,0.5593063688801339,0.4129434073791597,-0.1982525910743993,1.3089944315035125,pós
1,0.0016963031544756646,0.43341398957748445,-0.8558699392819873,0.8620278433888191,pós
2,0.5108307524655882,0.34752762664514986,-0.16865023522667627,1.1775891689207663,pós
3,0.34296378080706613,0.416441466148572,-0.44276043345050764,1.1826291050516047,pós
4,0.7364887837309868,0.31358671300500157,0.13954013163309015,1.316181265880933,pós
5,0.9394054605174211,0.3818473219891011,0.20647134389871602,1.6779241224642218,pós
6,0.31083201477266076,0.5620872534153621,-0.6850189973196681,1.3473551248522941,pós
7,0.8167052026519198,0.5250911524881281,-0.2008866136637309,1.7638786307011072,pós
8,0.31563906882591086,0.1726262452655832,-0.025374169057024776,0.6426263803701091,pós
