Grupo,n_municipios,n_obs,taxa_notificacoes,taxa_feminicidios,feminicidios,notificacoes,populacao
Controle (comercial),247,2717,79.283,2.652,5.845,182.308,236689.128
Tratado (24h),38,418,59.738,2.952,20.033,448.62,608975.036
