id_municipio,ano,populacao
1702554,2017,18089
1702554,2018,18178
1702554,2019,18412
1705508,2009,30666
1705508,2010,30964
1705508,2011,31263
1705508,2012,31675
1705508,2013,33078
1705508,2014,33535
1705508,2015,33981
1705508,2016,34416
1705508,2017,34839
1705508,2018,34990
1705508,2019,35424
1707009,2009,19524
1707009,2010,19460
1707009,2011,19395
1707009,2012,19669
1707009,2013,20566
1707009,2014,20870
1707009,2015,21167
1707009,2016,21457
1707009,2017,21738
1707009,2018,21850
1707009,2019,22139
1709302,2009,22530
1709302,2010,22988
1709302,2011,23445
1709302,2012,23681
1709302,2013,24629
1709302,2014,24892
1709302,2015,25149
1709302,2016,25399
1709302,2017,25642
1709302,2018,25677
1709302,2019,25923
1709500,2009,74357
1709500,2010,76006
1709500,2011,77655
1709500,2012,78525
1709500,2013,81792
1709500,2014,82762
1709500,2015,83707
1709500,2016,84628
1709500,2017,85523
1709500,2018,85737
1709500,2019,86647
1713205,2009,19740
1713205,2010,20068
1713205,2011,20396
1713205,2012,20117
1713205,2013,20243
1713205,2014,19934
1713205,2015,19634
1713205,2016,19340
1713205,2017,19055
1713205,2018,18566
1713205,2019,18248
1716109,2009,42015
1716109,2010,43534
1716109,2011,45054
1716109,2012,45669
1716109,2013,47724
1716109,2014,48409
1716109,2015,49076
1716109,2016,49727
1716109,2017,50360
1716109,2018,50602
1716109,2019,51252
1718204,2009,46722
1718204,2010,48094
1718204,2011,49465
1718204,2012,49774
1718204,2013,51501
1718204,2014,51846
1718204,2015,52182
1718204,2016,52510
1718204,2017,52828
1718204,2018,52700
1718204,2019,53010
1721000,2009,188645
1721000,2010,211980
1721000,2011,235316
1721000,2012,242070
1721000,2013,257904
1721000,2014,265409
1721000,2015,272726
1721000,2016,279856
1721000,2017,286787
1721000,2018,291855
1721000,2019,299127
1721208,2009,21826
1721208,2010,22216
1721208,2011,22607
1721208,2012,22596
1721208,2013,23165
1721208,2014,23153
1721208,2015,23141
1721208,2016,23130
1721208,2017,23119
1721208,2018,22896
1721208,2019,22870
2100055,2009,101130
2100055,2010,103192
2100055,2011,105255
2100055,2012,106422
2100055,2013,107790
2100055,2014,108765
2100055,2015,109685
2100055,2016,110543
2100055,2017,111339
2100055,2018,111757
2100055,2019,112445
2101202,2009,98489
2101202,2010,99552
2101202,2011,100615
2101202,2012,101195
2101202,2013,101851
2101202,2014,102265
2101202,2015,102656
2101202,2016,103020
2101202,2017,103359
2101202,2018,104633
2101202,2019,104949
2101400,2009,83617
2101400,2010,84470
2101400,2011,85322
2101400,2012,87057
2101400,2013,89126
2101400,2014,90679
2101400,2015,92144
2101400,2016,93511
2101400,2017,94779
2101400,2018,93826
2101400,2019,94887
2101608,2009,81329
2101608,2010,82392
2101608,2011,83454
2101608,2012,84180
2101608,2013,85022
2101608,2014,85603
2101608,2015,86151
2101608,2016,86662
2101608,2017,87135
2101608,2018,87794
2101608,2019,88212
2103000,2009,148072
2103000,2010,152200
2103000,2011,156327
2103000,2012,158059
2103000,2013,159396
2103000,2014,160291
2103000,2015,161137
2103000,2016,161926
2103000,2017,162657
2103000,2018,164224
2103000,2019,164880
2103208,2009,70537
2103208,2010,72406
2103208,2011,74274
2103208,2012,75167
2103208,2013,76217
2103208,2014,76972
2103208,2015,77684
2103208,2016,78348
2103208,2017,78965
2103208,2018,79145
2103208,2019,79675
2103307,2009,113937
2103307,2010,116252
2103307,2011,118568
2103307,2012,119079
2103307,2013,119641
2103307,2014,119962
2103307,2015,120265
2103307,2016,120548
2103307,2017,120810
2103307,2018,122597
2103307,2019,122859
2105302,2009,236691
2105302,2010,242748
2105302,2011,248806
2105302,2012,250063
2105302,2013,251468
2105302,2014,252320
2105302,2015,253123
2105302,2016,253873
2105302,2017,254569
2105302,2018,258016
2105302,2019,258682
2105401,2009,56810
2105401,2010,59917
2105401,2011,63024
2105401,2012,63907
2105401,2013,64951
2105401,2014,65713
2105401,2015,66433
2105401,2016,67104
2105401,2017,67726
2105401,2018,67673
2105401,2019,68203
2108207,2009,38934
2108207,2010,39176
2108207,2011,39419
2108207,2012,39391
2108207,2013,39337
2108207,2014,38582
2108207,2015,38506
2108207,2016,38433
2108207,2017,38365
2108207,2018,39267
2108207,2019,39229
2108603,2009,77182
2108603,2010,78029
2108603,2011,78876
2108603,2012,79566
2108603,2013,80365
2108603,2014,80917
2108603,2015,81438
2108603,2016,81924
2108603,2017,82374
2108603,2018,82990
2108603,2019,83387
2109106,2009,41303
2109106,2010,43229
2109106,2011,45155
2109106,2012,45564
2109106,2013,46039
2109106,2014,46369
2109106,2015,46680
2109106,2016,46970
2109106,2017,47239
2109106,2018,47567
2109106,2019,47804
2109601,2009,39627
2109601,2010,39828
2109601,2011,40030
2109601,2012,40469
2109601,2013,40983
2109601,2014,41349
2109601,2015,41694
2109601,2016,42016
2109601,2017,42314
2109601,2018,42482
2109601,2019,42740
2109908,2009,85701
2109908,2010,81860
2109908,2011,78020
2109908,2012,78733
2109908,2013,82106
2109908,2014,82680
2109908,2015,83238
2109908,2016,83759
2109908,2017,88013
2109908,2018,88590
2109908,2019,89044
2111102,2009,24357
2111102,2010,24642
2111102,2011,24927
2111102,2012,25056
2111102,2013,25199
2111102,2014,25287
2111102,2015,25371
2111102,2016,25448
2111102,2017,25520
2111102,2018,25860
2111102,2019,25929
2111300,2009,997098
2111300,2010,1012264
2111300,2011,1027430
2111300,2012,1039610
2111300,2013,1053922
2111300,2014,1064197
2111300,2015,1073893
2111300,2016,1082935
2111300,2017,1091868
2111300,2018,1094667
2111300,2019,1101884
2112209,2009,150635
2112209,2010,154036
2112209,2011,157438
2112209,2012,159471
2112209,2013,161721
2112209,2014,163342
2112209,2015,164869
2112209,2016,166295
2112209,2017,167619
2112209,2018,167973
2112209,2019,169107
2112803,2009,49348
2112803,2010,49616
2112803,2011,49883
2112803,2012,50257
2112803,2013,50687
2112803,2014,50976
2112803,2015,51249
2112803,2016,51503
2112803,2017,51738
2112803,2018,52229
2112803,2019,52441
2114007,2009,46265
2114007,2010,48940
2114007,2011,51615
2114007,2012,49355
2114007,2013,49848
2114007,2014,50190
2114007,2015,50507
2114007,2016,50806
2114007,2017,51084
2114007,2018,51471
2114007,2019,51714
2211001,2009,802537
2211001,2010,812450
2211001,2011,822364
2211001,2012,830231
2211001,2013,836475
2211001,2014,840600
2211001,2015,844245
2211001,2016,847430
2211001,2017,850198
2211001,2018,861442
2211001,2019,864845
2303709,2009,334364
2303709,2010,332610
2303709,2011,330855
2303709,2012,336091
2303709,2013,344936
2303709,2014,349526
2303709,2015,353932
2303709,2016,358164
2303709,2017,362223
2303709,2018,363982
2303709,2019,361400
2304202,2009,116759
2304202,2010,119738
2304202,2011,122717
